frame_index,timestamp,object_id,label,x_pixel,y_pixel,object_number,x_m,y_m,inside_pool
0,83333,1,Object 2,411.0,241.5,2,4.872612295356211,3.8549400889490544,True
1,125000,1,Object 2,411.5,242.5,2,4.880077355023415,3.910084298721028,True
2,166666,1,Object 2,412.0,243.5,2,4.887522792719722,3.965083561482849,True
3,208333,1,Object 2,411.0,244.0,2,4.908204222138459,3.990154392457272,True
4,250000,1,Object 2,410.0,245.5,2,4.9429851368153,4.068942561162092,True
5,291666,1,Object 2,409.0,247.5,2,4.984632750016543,4.174113452258755,True
6,333333,1,Object 2,406.0,249.0,2,5.0460160218091294,4.248318561737478,True
7,375000,1,Object 2,404.5,250.0,2,5.080064109317286,4.2985567672076845,True
8,416666,1,Object 2,402.5,253.5,2,5.155009763225932,4.479455444165572,True
9,458333,1,Object 2,398.5,254.5,2,5.222049670802936,4.5242574355396465,True
10,500000,1,Object 2,395.0,255.5,2,5.282210371737862,4.569868665337506,True
11,541666,1,Object 2,391.5,255.5,2,5.328805842554148,4.5631711753254365,True
12,583333,1,Object 2,391.0,255.0,2,5.328765621573357,4.536081930903134,True
13,625000,1,Object 2,388.0,254.5,2,5.3620336492511065,4.504181898389461,True
14,666666,1,Object 2,387.5,252.5,2,5.341922153794882,4.398218223049857,True
15,708333,1,Object 2,384.5,251.0,2,5.361897068947495,4.313380942176709,True
16,750000,1,Object 2,381.0,250.0,2,5.3953416260204135,4.253804449400813,True
17,791666,1,Object 2,380.0,249.5,2,5.402042443246063,4.225393465200524,True
18,833333,1,Object 2,374.5,248.5,2,5.462400038997409,4.161832081219148,True
19,875000,1,Object 2,368.5,248.5,2,5.542794042556507,4.150460109183991,True
20,916666,1,Object 2,364.5,249.0,2,5.6029066133256915,4.169453128249635,True
21,958333,1,Object 2,361.5,250.0,2,5.656056314940145,4.216797095570246,True
22,1000000,1,Object 2,359.5,250.0,2,5.682750368150026,4.213007986961124,True
23,1041666,1,Object 2,357.5,250.5,2,5.71590300871449,4.23567594689754,True
24,1083333,1,Object 2,355.0,251.0,2,5.75565932050748,4.257359087262804,True
25,1125000,1,Object 2,355.0,253.0,2,5.781313440603139,4.362681053983708,True
26,1166666,1,Object 2,353.0,252.5,2,5.801485166853199,4.332609621732823,True
27,1208333,1,Object 2,352.0,252.5,2,5.814768215543049,4.330713293653748,True
28,1250000,1,Object 2,351.0,251.5,2,5.815297061368857,4.276163014900295,True
29,1291666,1,Object 2,352.0,252.5,2,5.814768215543049,4.330713293653748,True
30,1333333,1,Object 2,352.5,252.0,2,5.801741121056526,4.3053505918690895,True
31,1375000,1,Object 2,352.5,250.5,2,5.782532444089681,4.226207261116154,True
32,1416666,1,Object 2,354.0,251.0,2,5.76897473742553,4.255464658958042,True
