frame_index,timestamp,object_id,label,x_pixel,y_pixel
0,83333,1,"Object 2",411.00,241.50
1,125000,1,"Object 2",411.50,242.50
2,166666,1,"Object 2",412.00,243.50
3,208333,1,"Object 2",411.00,244.00
4,250000,1,"Object 2",410.00,245.50
5,291666,1,"Object 2",409.00,247.50
6,333333,1,"Object 2",406.00,249.00
7,375000,1,"Object 2",404.50,250.00
8,416666,1,"Object 2",402.50,253.50
9,458333,1,"Object 2",398.50,254.50
10,500000,1,"Object 2",395.00,255.50
11,541666,1,"Object 2",391.50,255.50
12,583333,1,"Object 2",391.00,255.00
13,625000,1,"Object 2",388.00,254.50
14,666666,1,"Object 2",387.50,252.50
15,708333,1,"Object 2",384.50,251.00
16,750000,1,"Object 2",381.00,250.00
17,791666,1,"Object 2",380.00,249.50
18,833333,1,"Object 2",374.50,248.50
19,875000,1,"Object 2",368.50,248.50
20,916666,1,"Object 2",364.50,249.00
21,958333,1,"Object 2",361.50,250.00
22,1000000,1,"Object 2",359.50,250.00
23,1041666,1,"Object 2",357.50,250.50
24,1083333,1,"Object 2",355.00,251.00
25,1125000,1,"Object 2",355.00,253.00
26,1166666,1,"Object 2",353.00,252.50
27,1208333,1,"Object 2",352.00,252.50
28,1250000,1,"Object 2",351.00,251.50
29,1291666,1,"Object 2",352.00,252.50
30,1333333,1,"Object 2",352.50,252.00
31,1375000,1,"Object 2",352.50,250.50
32,1416666,1,"Object 2",354.00,251.00
33,1458333,1,"Object 2",356.50,250.00
34,1500000,1,"Object 2",360.50,250.50
35,1541666,1,"Object 2",362.00,250.00
36,1583333,1,"Object 2",367.00,248.50
37,1625000,1,"Object 2",371.00,247.50
38,1666666,1,"Object 2",375.50,248.00
39,1708333,1,"Object 2",376.50,249.00
40,1750000,1,"Object 2",383.50,250.00
41,1791666,1,"Object 2",388.50,250.00
42,1833333,1,"Object 2",390.50,250.50
43,1875000,1,"Object 2",392.50,251.00
44,1916666,1,"Object 2",395.00,250.50
45,1958333,1,"Object 2",395.00,249.50
46,2000000,1,"Object 2",397.00,247.50
47,2041666,1,"Object 2",398.50,248.50
48,2083333,1,"Object 2",400.00,246.50
49,2125000,1,"Object 2",401.00,245.50
50,2166666,1,"Object 2",403.00,243.50
51,2208333,1,"Object 2",406.00,241.50
52,2250000,1,"Object 2",405.00,241.50
53,2291666,1,"Object 2",408.00,240.50
54,2333333,1,"Object 2",409.00,241.00
55,2375000,1,"Object 2",408.00,242.50
56,2416666,1,"Object 2",405.00,243.50
57,2458333,1,"Object 2",401.00,244.00
58,2500000,1,"Object 2",399.00,243.50
59,2541666,1,"Object 2",398.00,244.00
60,2583333,1,"Object 2",397.00,244.00
61,2625000,1,"Object 2",395.00,244.00
62,2666666,1,"Object 2",397.00,244.00
63,2708333,1,"Object 2",400.00,243.50
64,2750000,1,"Object 2",400.50,244.50
65,2791666,1,"Object 2",397.50,244.50
66,2833333,1,"Object 2",400.50,243.00
67,2875000,1,"Object 2",399.50,244.50
68,2916666,1,"Object 2",398.50,242.00
69,2958333,1,"Object 2",399.50,242.00
70,3000000,1,"Object 2",400.00,239.50
71,3041666,1,"Object 2",402.00,238.00
72,3083333,1,"Object 2",400.50,230.50
73,3125000,1,"Object 2",403.00,227.50
74,3166666,1,"Object 2",404.50,221.50
75,3208333,1,"Object 2",408.00,218.50
76,3250000,1,"Object 2",410.50,216.50
77,3291666,1,"Object 2",412.00,215.50
78,3333333,1,"Object 2",412.00,213.00
79,3375000,1,"Object 2",411.00,213.00
80,3416666,1,"Object 2",410.50,212.00
81,3458333,1,"Object 2",409.00,207.00
82,3500000,1,"Object 2",405.50,202.50
83,3541666,1,"Object 2",401.00,197.00
